source,target,weight
1175720586859200386,1300444946999494613,25
1175720586859200386,1827510288229123778,19
1175720586859200386,1430803450092710608,14
1175720586859200386,310747657654070635,20
1175720586859200386,1309130221048065418,12
1175720586859200386,1813662529429580784,35
1175720586859200386,485120906295877576,36
1175720586859200386,1429387411849782630,18
1175720586859200386,1163505817513951224,21
1175720586859200386,575821626231679208,32
1175720586859200386,1289847762178360592,13
1175720586859200386,969301191041383564,25
1175720586859200386,970055662908784212,11
1175720586859200386,898691927084847472,25
1175720586859200386,450860767935544089,13
1175720586859200386,1122140845482149505,17
1175720586859200386,2237942552255912074,22
1175720586859200386,1988844945722790484,11
1175720586859200386,1657562998312407113,16
1175720586859200386,616787765835036902,11
1175720586859200386,772504040647773919,16
1175720586859200386,1260873443102023234,20
1175720586859200386,1160201653989965405,11
1175720586859200386,1637385569660302760,16
1175720586859200386,59466016139217080,11
1175720586859200386,614045409593936090,14
1175720586859200386,1021894931206211491,14
1175720586859200386,1454193746152606219,14
1175720586859200386,343306018349153478,12
1175720586859200386,2219629305000327152,11
1175720586859200386,1968973952824002403,20
480891009145629236,566530757671755756,31
1116798849449044774,557754086795988174,14
1116798849449044774,2294478907136656586,33
1116798849449044774,1354490147085089533,16
1116798849449044774,2269070755451585189,42
1116798849449044774,212427151310712589,78
1116798849449044774,2237942552255912074,76
1116798849449044774,1864488401417248754,31
1116798849449044774,57968931796736467,29
1636894278187818761,1255278396620218767,26
1636894278187818761,1033329303902013885,39
1636894278187818761,1505662532983448206,21
1636894278187818761,1332063120138743063,15
1636894278187818761,143188377126489644,27
1636894278187818761,772504040647773919,35
1636894278187818761,764993748459196022,41
1636894278187818761,1154428504703051511,13
1636894278187818761,576822774200611005,40
1636894278187818761,1705016108903901499,32
1636894278187818761,1308047235608343840,24
1017961839578329056,256879592361462926,345
1017961839578329056,1889261758556835928,350
1017961839578329056,1330086993970882569,63
1017961839578329056,1784826213161699191,11
1017961839578329056,2187872363413950873,40
1017961839578329056,1327484401900923490,28
1017961839578329056,557754086795988174,26
1017961839578329056,1303749093522347624,274
1017961839578329056,1741745939784649911,28
1017961839578329056,1604204092143567425,272
1017961839578329056,57564119733964031,220
1017961839578329056,656689315033052542,283
1017961839578329056,1784936488270234381,94
1017961839578329056,1835998077068082228,21
1017961839578329056,2190387441027275729,11
1017961839578329056,1289847762178360592,97
1017961839578329056,1755409832942811786,37
1017961839578329056,307850088227949124,19
1017961839578329056,1186107825716447885,175
1017961839578329056,1622127506322886218,14
1017961839578329056,1831278467383135083,42
1017961839578329056,1802358189320825928,125
1017961839578329056,1455880075760360480,40
1017961839578329056,1105105665744293673,21
1017961839578329056,1070373929147907308,77
1017961839578329056,1074798672257464231,14
1017961839578329056,2096347915761965343,97
1017961839578329056,203798170563224992,30
1017961839578329056,1311122000951597329,43
1017961839578329056,787283532127374678,13
1017961839578329056,411797304352938379,32
1017961839578329056,969183092647515912,31
256879592361462926,1889261758556835928,406
256879592361462926,1330086993970882569,88
256879592361462926,1784826213161699191,24
256879592361462926,2187872363413950873,118
256879592361462926,197967937266821620,44
256879592361462926,1327484401900923490,56
256879592361462926,2154633315133767614,12
256879592361462926,557754086795988174,56
256879592361462926,1303749093522347624,320
256879592361462926,1741745939784649911,38
256879592361462926,1604204092143567425,271
256879592361462926,57564119733964031,258
256879592361462926,656689315033052542,255
256879592361462926,2258208641357597626,22
256879592361462926,1784936488270234381,164
256879592361462926,1835998077068082228,34
256879592361462926,1289847762178360592,164
256879592361462926,1755409832942811786,63
256879592361462926,1066321830542018062,18
256879592361462926,307850088227949124,19
256879592361462926,1186107825716447885,185
256879592361462926,1622127506322886218,14
256879592361462926,2237942552255912074,13
256879592361462926,289091895940675915,12
256879592361462926,1831278467383135083,66
256879592361462926,1802358189320825928,136
256879592361462926,1455880075760360480,71
256879592361462926,1105105665744293673,20
256879592361462926,1070373929147907308,82
256879592361462926,2071998610782756480,18
256879592361462926,1074798672257464231,25
256879592361462926,2096347915761965343,92
256879592361462926,203798170563224992,44
256879592361462926,1152333328707315185,12
256879592361462926,1311122000951597329,55
256879592361462926,787283532127374678,18
256879592361462926,411797304352938379,37
256879592361462926,969183092647515912,35
256879592361462926,2015999915031878425,15
1889261758556835928,1330086993970882569,191
1889261758556835928,1784826213161699191,82
1889261758556835928,2187872363413950873,354
1889261758556835928,2152544258597173073,34
1889261758556835928,1391955532970167906,35
1889261758556835928,197967937266821620,333
1889261758556835928,2291526971190505522,30
1889261758556835928,2182454756737542283,201
1889261758556835928,276409707950264295,34
1889261758556835928,1493044578922693931,28
1889261758556835928,1327484401900923490,143
1889261758556835928,1504224565183705458,14
1889261758556835928,1405042282431985256,16
1889261758556835928,2154633315133767614,22
1889261758556835928,2289667831428644075,17
1889261758556835928,557754086795988174,125
1889261758556835928,1303749093522347624,291
1889261758556835928,1358541406839277268,14
1889261758556835928,699728972000232298,17
1889261758556835928,1196658853721830876,12
1889261758556835928,1489881036331208062,18
1889261758556835928,1741745939784649911,40
1889261758556835928,1604204092143567425,277
1889261758556835928,1479781150011502016,11
1889261758556835928,319563144399923976,13
1889261758556835928,876932837917113749,20
1889261758556835928,1253394943171906098,17
1889261758556835928,1430803450092710608,17
1889261758556835928,2294478907136656586,20
1889261758556835928,310747657654070635,25
1889261758556835928,57564119733964031,257
1889261758556835928,656689315033052542,244
1889261758556835928,2258208641357597626,190
1889261758556835928,1813662529429580784,32
1889261758556835928,485120906295877576,24
1889261758556835928,1784936488270234381,261
1889261758556835928,1117906042972202773,23
1889261758556835928,1953567510069131551,14
1889261758556835928,1835998077068082228,45
1889261758556835928,658989732844702227,40
1889261758556835928,2190387441027275729,11
1889261758556835928,2269539733644048864,39
1889261758556835928,575821626231679208,31
1889261758556835928,128780920494259388,26
1889261758556835928,1289847762178360592,228
1889261758556835928,1368127703929113106,29
1889261758556835928,1242570554831168203,11
1889261758556835928,1470297811961819576,12
1889261758556835928,1755409832942811786,97
1889261758556835928,1058078703545972675,88
1889261758556835928,2214131750495883695,13
1889261758556835928,1051411658438474462,60
1889261758556835928,1066321830542018062,75
1889261758556835928,1648255396373875467,17
1889261758556835928,307850088227949124,46
1889261758556835928,1186477388151946832,131
1889261758556835928,450860767935544089,26
1889261758556835928,2269070755451585189,15
1889261758556835928,1186107825716447885,194
1889261758556835928,212427151310712589,37
1889261758556835928,594033446639215463,35
